Timestamp,BPM,RRIntervals
1779182839474,94,"[623,623,623,623,616,616,616,616,616,616,616,616,616,616,616,616,616,616,623,623]"
1779182838976,94,"[623,623,623,616,616,616,616,616,616,616,616,616,616,616,616,616,616,623,623,623]"
1779182838475,94,"[623,623,616,616,616,616,616,616,616,616,616,616,616,616,616,616,623,623,623,629]"
1779182837977,94,"[623,616,616,616,616,616,616,616,616,616,616,616,616,616,616,623,623,623,629,636]"
1779182837478,95,"[616,616,616,616,616,616,616,616,616,616,616,616,616,616,623,623,623,629,636,643]"
1779182836980,95,"[616,616,616,616,616,616,616,616,616,616,616,616,616,623,623,623,629,636,643,643]"
1779182836481,95,"[616,616,616,616,616,616,616,616,616,616,616,616,623,623,623,629,636,643,643,643]"
1779182835982,95,"[616,616,616,616,616,616,616,616,616,616,616,623,623,623,629,636,643,643,643,643]"
1779182835484,95,"[616,616,616,616,616,616,616,616,616,616,623,623,623,629,636,643,643,643,643,643]"
1779182834985,95,"[616,616,616,616,616,616,616,616,616,623,623,623,629,636,643,643,643,643,643,643]"
1779182834486,95,"[616,616,616,616,616,616,616,616,623,623,623,629,636,643,643,643,643,643,643,643]"
1779182833987,95,"[616,616,616,616,616,616,616,623,623,623,629,636,643,643,643,643,643,643,643,643]"
1779182833488,95,"[616,616,616,616,616,616,623,623,623,629,636,643,643,643,643,643,643,643,643,643]"
1779182832991,95,"[616,616,616,616,616,623,623,623,629,636,643,643,643,643,643,643,643,643,643,643]"
1779182832492,95,"[616,616,616,616,623,623,623,629,636,643,643,643,643,643,643,643,643,643,643,636]"
1779182831993,95,"[616,616,616,623,623,623,629,636,643,643,643,643,643,643,643,643,643,643,636,636]"
1779182831494,95,"[616,616,623,623,623,629,636,643,643,643,643,643,643,643,643,643,643,636,636,623]"
1779182830995,95,"[616,623,623,623,629,636,643,643,643,643,643,643,643,643,643,643,636,636,623,623]"
1779182830496,94,"[623,623,623,629,636,643,643,643,643,643,643,643,643,643,643,636,636,623,623,623]"
1779182829998,94,"[623,623,629,636,643,643,643,643,643,643,643,643,643,643,636,636,623,623,623,623]"
1779182829499,94,"[623,629,636,643,643,643,643,643,643,643,643,643,643,636,636,623,623,623,623,623]"
1779182829000,93,"[629,636,643,643,643,643,643,643,643,643,643,643,636,636,623,623,623,623,623,623]"
1779182828502,92,"[636,643,643,643,643,643,643,643,643,643,643,636,636,623,623,623,623,623,623,623]"
1779182828003,91,"[643,643,643,643,643,643,643,643,643,643,636,636,623,623,623,623,623,623,623,623]"
1779182827504,91,"[643,643,643,643,643,643,643,643,643,636,636,623,623,623,623,623,623,623,623,623]"
1779182827005,91,"[643,643,643,643,643,643,643,643,636,636,623,623,623,623,623,623,623,623,623,623]"
1779182826509,91,"[643,643,643,643,643,643,643,636,636,623,623,623,623,623,623,623,623,623,623,623]"
1779182826008,91,"[643,643,643,643,643,643,636,636,623,623,623,623,623,623,623,623,623,623,623,623]"
1779182825509,91,"[643,643,643,643,643,636,636,623,623,623,623,623,623,623,623,623,623,623,623,629]"
1779182825010,91,"[643,643,643,643,636,636,623,623,623,623,623,623,623,623,623,623,623,623,629,636]"
1779182824511,91,"[643,643,643,636,636,623,623,623,623,623,623,623,623,623,623,623,623,629,636,636]"
1779182824013,91,"[643,643,636,636,623,623,623,623,623,623,623,623,623,623,623,623,629,636,636,643]"
1779182823515,91,"[643,636,636,623,623,623,623,623,623,623,623,623,623,623,623,629,636,636,643,650]"
1779182823015,92,"[636,636,623,623,623,623,623,623,623,623,623,623,623,623,629,636,636,643,650,650]"
1779182822517,92,"[636,623,623,623,623,623,623,623,623,623,623,623,623,629,636,636,643,650,650,650]"
1779182822018,94,"[623,623,623,623,623,623,623,623,623,623,623,623,629,636,636,643,650,650,650,650]"
1779182821519,94,"[623,623,623,623,623,623,623,623,623,623,623,629,636,636,643,650,650,650,650,650]"
1779182821020,94,"[623,623,623,623,623,623,623,623,623,623,629,636,636,643,650,650,650,650,650,650]"
1779182820521,94,"[623,623,623,623,623,623,623,623,623,629,636,636,643,650,650,650,650,650,650,650]"
1779182820024,94,"[623,623,623,623,623,623,623,623,629,636,636,643,650,650,650,650,650,650,650,650]"
1779182819524,94,"[623,623,623,623,623,623,623,629,636,636,643,650,650,650,650,650,650,650,650,650]"
1779182819025,94,"[623,623,623,623,623,623,629,636,636,643,650,650,650,650,650,650,650,650,650,643]"
1779182818526,94,"[623,623,623,623,623,629,636,636,643,650,650,650,650,650,650,650,650,650,643,643]"
1779182818028,94,"[623,623,623,623,629,636,636,643,650,650,650,650,650,650,650,650,650,643,643,643]"
1779182817529,94,"[623,623,623,629,636,636,643,650,650,650,650,650,650,650,650,650,643,643,643,636]"
1779182817030,94,"[623,623,629,636,636,643,650,650,650,650,650,650,650,650,650,643,643,643,636,636]"
1779182816531,94,"[623,629,636,636,643,650,650,650,650,650,650,650,650,650,643,643,643,636,636,636]"
1779182816032,93,"[629,636,636,643,650,650,650,650,650,650,650,650,650,643,643,643,636,636,636,636]"
1779182815533,92,"[636,636,643,650,650,650,650,650,650,650,650,650,643,643,643,636,636,636,636,636]"
1779182815035,92,"[636,643,650,650,650,650,650,650,650,650,650,643,643,643,636,636,636,636,636,636]"
